caminho_relativo_xml,chave,ano,data_emissao,status,caminho_pdf,mensagem
35141203509978001143550010001320211255078461.xml,35141203509978001143550010001320211255078461,2014,2014-12-17T00:00:00,gerado,individuais\2014\35141203509978001143550010001320211255078461.pdf,DANFE gerado com sucesso.
2016\27160104206050008165550810000999831537808685.xml,27160104206050008165550810000999831537808685,2016,2016-01-30T09:52:14,gerado,individuais\2016\27160104206050008165550810000999831537808685.pdf,DANFE gerado com sucesso.
2017\24170522959801000111550010000001431933706882.xml,24170522959801000111550010000001431933706882,2017,2017-05-30T10:13:00,gerado,individuais\2017\24170522959801000111550010000001431933706882.pdf,DANFE gerado com sucesso.
2017\27170604168479000120550010000005791520000501.xml,27170604168479000120550010000005791520000501,2017,2017-06-12T17:31:00,gerado,individuais\2017\27170604168479000120550010000005791520000501.pdf,DANFE gerado com sucesso.
2019\27190111050845000108550010001334331016245385.xml,27190111050845000108550010001334331016245385,2019,2019-01-02T10:26:27,gerado,individuais\2019\27190111050845000108550010001334331016245385.pdf,DANFE gerado com sucesso.
2019\27190111050845000108550010001334351016245479.xml,27190111050845000108550010001334351016245479,2019,2019-01-02T10:36:25,gerado,individuais\2019\27190111050845000108550010001334351016245479.pdf,DANFE gerado com sucesso.
2019\35190112408667000107550010000015171108762872.xml,35190112408667000107550010000015171108762872,2019,2019-01-09T12:23:31,gerado,individuais\2019\35190112408667000107550010000015171108762872.pdf,DANFE gerado com sucesso.
2019\27190135722974000163550020000496881106847848.xml,27190135722974000163550020000496881106847848,2019,2019-01-09T13:30:27,gerado,individuais\2019\27190135722974000163550020000496881106847848.pdf,DANFE gerado com sucesso.
2019\27190109619157000174550010000673421000000018.xml,27190109619157000174550010000673421000000018,2019,2019-01-10T00:00:00,gerado,individuais\2019\27190109619157000174550010000673421000000018.pdf,DANFE gerado com sucesso.
2019\27190109619157000174550010000674161000000013.xml,27190109619157000174550010000674161000000013,2019,2019-01-12T00:00:00,gerado,individuais\2019\27190109619157000174550010000674161000000013.pdf,DANFE gerado com sucesso.
2019\27190103656804000131550020016960211016960217.xml,27190103656804000131550020016960211016960217,2019,2019-01-14T00:00:00,gerado,individuais\2019\27190103656804000131550020016960211016960217.pdf,DANFE gerado com sucesso.
2019\27190107122759000196550010000795151000673502.xml,27190107122759000196550010000795151000673502,2019,2019-01-15T10:39:54,gerado,individuais\2019\27190107122759000196550010000795151000673502.pdf,DANFE gerado com sucesso.
2019\27190111749321000100550010000005311395770166.xml,27190111749321000100550010000005311395770166,2019,2019-01-16T00:00:00,gerado,individuais\2019\27190111749321000100550010000005311395770166.pdf,DANFE gerado com sucesso.
2019\27190107122759000358550010000064331000675385.xml,27190107122759000358550010000064331000675385,2019,2019-01-17T07:33:36,gerado,individuais\2019\27190107122759000358550010000064331000675385.pdf,DANFE gerado com sucesso.
2019\27190126774412000172550010000036711000675468.xml,27190126774412000172550010000036711000675468,2019,2019-01-17T07:44:54,gerado,individuais\2019\27190126774412000172550010000036711000675468.pdf,DANFE gerado com sucesso.
2019\35190107837133000166550010000030011000020670.xml,35190107837133000166550010000030011000020670,2019,2019-01-17T14:52:43,gerado,individuais\2019\35190107837133000166550010000030011000020670.pdf,DANFE gerado com sucesso.
2019\35190107837133000166550010000030021000020685.xml,35190107837133000166550010000030021000020685,2019,2019-01-17T15:00:33,gerado,individuais\2019\35190107837133000166550010000030021000020685.pdf,DANFE gerado com sucesso.
2019\35190107837133000166550010000030031000020690.xml,35190107837133000166550010000030031000020690,2019,2019-01-17T15:05:21,gerado,individuais\2019\35190107837133000166550010000030031000020690.pdf,DANFE gerado com sucesso.
2019\27190109619157000174550010000679361000000013.xml,27190109619157000174550010000679361000000013,2019,2019-01-23T00:00:00,gerado,individuais\2019\27190109619157000174550010000679361000000013.pdf,DANFE gerado com sucesso.
2019\27190111050845000108550010001350131016440042.xml,27190111050845000108550010001350131016440042,2019,2019-01-30T06:54:29,gerado,individuais\2019\27190111050845000108550010001350131016440042.pdf,DANFE gerado com sucesso.
2019\27190212392171000192550000000828561737939824.xml,27190212392171000192550000000828561737939824,2019,2019-02-12T15:05:37,gerado,individuais\2019\27190212392171000192550000000828561737939824.pdf,DANFE gerado com sucesso.
2019\27190212392171000192550000000828571222813984.xml,27190212392171000192550000000828571222813984,2019,2019-02-12T15:06:04,gerado,individuais\2019\27190212392171000192550000000828571222813984.pdf,DANFE gerado com sucesso.
2019\27190212392171000192550000000828581815589380.xml,27190212392171000192550000000828581815589380,2019,2019-02-12T15:06:29,gerado,individuais\2019\27190212392171000192550000000828581815589380.pdf,DANFE gerado com sucesso.
2019\27190212440038000164550000000789711675339064.xml,27190212440038000164550000000789711675339064,2019,2019-02-13T08:16:53,gerado,individuais\2019\27190212440038000164550000000789711675339064.pdf,DANFE gerado com sucesso.
2019\27190206698221000161550010000077911189070640.xml,27190206698221000161550010000077911189070640,2019,2019-02-13T10:07:06,gerado,individuais\2019\27190206698221000161550010000077911189070640.pdf,DANFE gerado com sucesso.
2019\27190211050845000108550010001362091016565399.xml,27190211050845000108550010001362091016565399,2019,2019-02-18T11:20:30,gerado,individuais\2019\27190211050845000108550010001362091016565399.pdf,DANFE gerado com sucesso.
2019\27190207122759000196550010000804711000702502.xml,27190207122759000196550010000804711000702502,2019,2019-02-21T07:34:58,gerado,individuais\2019\27190207122759000196550010000804711000702502.pdf,DANFE gerado com sucesso.
2019\27190211050845000108550010001366861016615338.xml,27190211050845000108550010001366861016615338,2019,2019-02-26T15:25:12,gerado,individuais\2019\27190211050845000108550010001366861016615338.pdf,DANFE gerado com sucesso.
2019\27190203656804000131550020017086321017086323.xml,27190203656804000131550020017086321017086323,2019,2019-02-28T00:00:00,gerado,individuais\2019\27190203656804000131550020017086321017086323.pdf,DANFE gerado com sucesso.
2019\27190411446315000183550010000105561000105566.xml,27190411446315000183550010000105561000105566,2019,2019-04-26T00:00:00,gerado,individuais\2019\27190411446315000183550010000105561000105566.pdf,DANFE gerado com sucesso.
2019\27190511050845000108550010001402621017043757.xml,27190511050845000108550010001402621017043757,2019,2019-05-07T16:37:12,gerado,individuais\2019\27190511050845000108550010001402621017043757.pdf,DANFE gerado com sucesso.
2019\27190511446315000183550010000105991000105990.xml,27190511446315000183550010000105991000105990,2019,2019-05-09T00:00:00,gerado,individuais\2019\27190511446315000183550010000105991000105990.pdf,DANFE gerado com sucesso.
2019\27190526774412000172550010000045501000763344.xml,27190526774412000172550010000045501000763344,2019,2019-05-21T08:28:09,gerado,individuais\2019\27190526774412000172550010000045501000763344.pdf,DANFE gerado com sucesso.
2019\27190511446315000183550010000106351000106359.xml,27190511446315000183550010000106351000106359,2019,2019-05-23T00:00:00,gerado,individuais\2019\27190511446315000183550010000106351000106359.pdf,DANFE gerado com sucesso.
2019\27190507749132000160550010000130761018637261.xml,27190507749132000160550010000130761018637261,2019,2019-05-28T00:00:00,gerado,individuais\2019\27190507749132000160550010000130761018637261.pdf,DANFE gerado com sucesso.
2019\27190603656804000131550030000077401003660335.xml,27190603656804000131550030000077401003660335,2019,2019-06-03T18:27:00,gerado,individuais\2019\27190603656804000131550030000077401003660335.pdf,DANFE gerado com sucesso.
2019\27190611446315000183550010000106541000106544.xml,27190611446315000183550010000106541000106544,2019,2019-06-04T00:00:00,gerado,individuais\2019\27190611446315000183550010000106541000106544.pdf,DANFE gerado com sucesso.
2019\27190609619157000174550010000743301000000015.xml,27190609619157000174550010000743301000000015,2019,2019-06-07T00:00:00,gerado,individuais\2019\27190609619157000174550010000743301000000015.pdf,DANFE gerado com sucesso.
